feature,borda_score
w_t_PEC_A6,296.0
w_t_rms_D3,286.0
w_f_maxval_D3,278.0
w_f_mean_A6,274.0
f_std,273.0
w_t_peak2peak_D3,273.0
t_peak2rms,265.0
f_rms,260.0
t_rms,252.0
w_t_PEC_D3,252.0
w_t_rms_A6,241.0
t_multiscaleEntropy,241.0
w_t_meanEnergyCoeff,241.0
f_var,235.0
f_entropy,234.0
t_peak2peak,231.0
f_90_percent_energy,225.0
f_mean,222.0
t_time2peak,208.0
f_PeaksAboveRMSDensity_fun,207.0
t_energy,206.0
w_f_mean_D1,206.0
f_power,205.0
w_t_meanEnergyAD,203.0
w_f_maxval_A6,202.0
w_t_peak2rms_D6,201.0
f_energy,200.0
w_t_PEC_D4,200.0
f_peak_2030_value,196.0
w_t_rms_D5,188.0
f_peaks_pos_1,179.0
w_t_PEC_D5,179.0
w_t_peak2peak_D5,176.0
w_f_maxval_D1,175.0
w_f_maxval_D5,173.0
w_f_maxpos_D2,170.0
t_PeaksAboveRMSDensity_fun,168.0
w_f_maxval_D6,168.0
f_kurtosis,167.0
w_t_PEC_D2,166.0
f_peak_1020_value,164.0
w_t_rms_D1,161.0
f_peak2rms,161.0
t_zcr,159.0
w_t_peak2rms_A6,159.0
w_t_peak2peak_A6,159.0
w_f_maxpos_A6,158.0
t_entropy,157.0
w_f_maxpos_D6,153.0
w_t_peak2peak_D1,153.0
w_t_rms_D6,143.0
w_t_peak2rms_D5,141.0
w_f_maxpos_D4,141.0
w_f_mean_D2,140.0
f_peaks_val_3,133.0
w_t_peak2rms_D3,132.0
w_t_peak2rms_D1,131.0
f_peaks_pos_2,131.0
w_f_maxval_D2,129.0
t_mean,125.0
w_f_maxpos_D3,122.0
t_kurtosis,120.0
w_t_peak2peak_D4,118.0
w_f_mean_D6,117.0
t_std,117.0
w_f_maxpos_D5,114.0
w_f_maxval_D4,113.0
w_t_rms_D2,110.0
f_peaks_val_2,109.0
w_t_peak2peak_D6,107.0
w_t_PEC_D1,106.0
w_f_mean_D3,104.0
w_t_rms_D4,103.0
w_t_PEC_D6,101.0
f_multiscaleEntropy,98.0
f_peak_1020_pos,92.0
w_f_mean_D4,87.0
t_var,85.0
f_peaks_pos_3,84.0
w_t_peak2peak_D2,75.0
w_t_peak2rms_D2,74.0
w_t_peak2rms_D4,73.0
w_f_mean_D5,58.0
f_peak_2030_pos,5.0
